time_s,mass_kg,mach,dynamic_pressure_pa,indicated_speed_kmh,base_indicated_speed_q_ratio,fin_force_speed_scale,fin_authority_scale,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s,angle_of_attack_rad,pitch_alpha_rad,yaw_alpha_rad,pitch_fin_command,yaw_fin_command,pitch_requested_fin_command,yaw_requested_fin_command,pitch_requested_fin_angle_rad,yaw_requested_fin_angle_rad,actual_pitch_fin_angle_rad,actual_yaw_fin_angle_rad,pitch_natural_frequency_rad_s,yaw_natural_frequency_rad_s,pitch_residual_rate_damping_per_s,yaw_residual_rate_damping_per_s,pitch_tail_rate_damping_per_s,yaw_tail_rate_damping_per_s,pitch_fin_moment_equivalent_g,yaw_fin_moment_equivalent_g,pitch_tail_moment_nm,yaw_tail_moment_nm,pitch_residual_damping_moment_nm,yaw_residual_damping_moment_nm,pitch_total_moment_nm,yaw_total_moment_nm,pitch_tail_authority_fraction,yaw_tail_authority_fraction,pitch_tail_rate_incidence_rad,yaw_tail_rate_incidence_rad,pitch_tail_effective_incidence_rad,yaw_tail_effective_incidence_rad,trajectory_lateral_load_g,trajectory_pitch_normal_acceleration_g,trajectory_yaw_normal_acceleration_g,axial_specific_force_g,thrust_n,drag_n,total_cda_m2,cda_alpha_m2,fin_drag_n,pitch_pid_output,yaw_pid_output,pitch_pid_integral,yaw_pid_integral,pid_feedback_pitch_g,pid_feedback_yaw_g,midcourse_weight,pcc_capture_mode,pcc_capture_ratio,pcc_envelope_g,pcc_routed_alpha_deg,heading_error_deg,j_psi_actual_deg,distance_to_target_m,closing_speed_mps,commanded_accel_body_pitch_g,commanded_accel_body_yaw_g,altitude_m,speed_mps,speed_kmh,inertia_kg_m2,pitch_angular_accel_rad_s2,yaw_angular_accel_rad_s2,omega_total_rad_s,delta_total_rad,trim_deficit_rad,predicted_deficit_rad,zeta_implied
0,190,1.057571035,35444.51194,866.0120826,0.2314743603,0.2314743603,1,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,4.833112668,4.833112668,9.666225335,9.666225335,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,12.53736593,24350,989.5836722,0.02791923539,0,0,0,0,0,0,0,0,1,capture,5.548551577,10.21003408,23.7,30,0,8000,622.0084679,0,10.21003408,6300,333.3333333,1200,217.9315833,0,0,0,0,0,0,nan
0.002,189.9797143,1.058351196,35496.82555,866.6509336,0.2318160002,0.2318160002,1,-9.120306253e-10,4.685339525e-07,-1.365946754e-06,0.0004671399503,5.877582507e-05,5.87739594e-05,4.683034721e-07,0,0.02189364525,0,0.8976394554,0,0.4136430327,0,0.01008885446,4.83667802,4.83667802,9.673356041,9.673356041,0,0,-0.0009189399912,0.1577334857,-0.2996077936,51.42684188,0.002879285609,-0.984686506,-0.296728508,50.44215537,-0.0001275443335,0.021892629,-7.165934206e-10,2.450676895e-07,-5.87739594e-05,0.01008838615,0.001473614517,0.001473567741,1.174120128e-05,12.53711624,24350,992.5429404,0.02796145641,9.767644632e-10,0,0.0117975,0,1e-05,-0.1203507768,0.0007367117781,5.870026225e-06,1,capture,5.549164932,10.21791144,23.7,30.00477555,1.320556126e-08,7998.755777,622.214467,0.0010400942,10.21791139,6299.99998,333.5792306,1200.88523,217.9083154,-0.001361712642,0.2314833891,0.0004671419474,0.01008885446,0.01003007863,0.0001931664442,51.92453935
0.004,189.9594286,1.059131344,35549.1771,867.2897766,0.2321578878,0.2321578878,1,-7.21473155e-09,2.320797519e-06,-5.382394601e-06,0.001382383893,0.0001174355365,0.0001174126428,2.318737312e-06,2.228581993e-06,0.04325329905,9.137186171e-05,0.8976394508,4.210525034e-05,0.4136430306,1.026957325e-06,0.01993163924,4.840243329,4.840243329,9.680486658,9.680486658,0,0,-0.001822392032,0.3120575759,-0.5941025092,101.7312332,0.0113527259,-2.915770135,-0.5827497833,98.81546311,-0.000252566525,0.0432482672,-2.821594264e-09,7.246823677e-07,-0.0001163856855,0.0199293205,0.002946560456,0.002945986033,5.817914905e-05,12.53686349,24350,995.5077333,0.0280036787,3.899343141e-09,0,0.0115181104,0.01008885446,2.000303382e-05,-0.1073634859,0.001473999741,2.910945612e-05,1,capture,5.549775769,10.22579423,23.7,30.00955284,1.180412236e-07,7997.511142,622.4204434,0.002079293074,10.22579401,6299.999922,333.8251241,1201.770447,217.8850476,-0.00267457446,0.4535210847,0.001382394371,0.01993163927,0.01981420373,0.0005712086263,34.68820816
0.006,189.9391429,1.05991148,35601.56655,867.9286115,0.2325000231,0.2325000231,1,-2.411302653e-08,6.434449443e-06,-1.195350234e-05,0.002727229649,0.0001760284496,0.0001759111084,6.426273018e-06,6.626037504e-06,0.06409198533,0.0001825242579,0.8976394368,8.410936835e-05,0.4136430242,3.053357594e-06,0.02953435595,4.843808592,4.843808592,9.687617185,9.687617185,0,0,-0.002710632575,0.4630360379,-0.8835758788,150.9343161,0.02522860207,-5.755985955,-0.8583472767,145.1783302,-0.0003751155587,0.06407803979,-6.261731259e-09,1.42863394e-06,-0.0001728577508,0.02952792967,0.004420071774,0.00441712534,0.0001613636162,12.53660766,24350,998.4780548,0.02804590223,8.761089353e-09,0,0.01125692815,0.01993163924,3.000908676e-05,-0.09480676795,0.002211796733,8.079995389e-05,1,capture,5.550384067,10.23368243,23.7,30.01433172,4.68474662e-07,7996.266095,622.6263976,0.003117598091,10.23368196,6299.999824,334.0710137,1202.655649,217.8617797,-0.003939870857,0.6663781522,0.002727255845,0.0295343561,0.02935832765,0.001126079114,26.07128334
0.008,189.9188571,1.060691603,35653.99391,868.5674383,0.2328424058,0.2328424058,1,-5.662269016e-08,1.365066619e-05,-2.098595632e-05,0.004483695928,0.0002346606781,0.0002342646104,1.362813766e-05,1.313412634e-05,0.08442241042,0.0002734576798,0.8976394137,0.0001260125803,0.4136430135,6.052363027e-06,0.03890285979,4.84737381,4.84737381,9.69474762,9.69474762,0,0,-0.003583932494,0.610731381,-1.168117777,199.0568138,0.04432001858,-9.469069876,-1.123797759,189.5877439,-0.0004952393761,0.08439283624,-1.098521302e-08,2.347015029e-06,-0.0002282122474,0.03888923165,0.00589681349,0.005886860665,0.0003424629241,12.53634877,24350,1001.45391,0.02808812701,1.556944116e-08,0,0.0110128156,0.02953435595,4.001814477e-05,-0.08266295377,0.002950037669,0.000171615842,1,capture,5.550989794,10.24157606,23.7,30.01911196,1.290789696e-06,7995.020637,622.8323301,0.004155010887,10.24157521,6299.999686,334.3168994,1203.540838,217.8385118,-0.005158857124,0.8703132533,0.00448374504,0.03890286026,0.03866819958,0.001849968753,20.90208255
0.01,189.8985714,1.061471713,35706.45916,869.2062566,0.233185036,0.233185036,1,-1.095753436e-07,2.477517109e-05,-3.238891121e-05,0.006634309734,0.0002935118378,0.0002924685938,2.472489772e-05,2.169604111e-05,0.1042569707,0.0003641726321,0.8976393814,0.000167815119,0.4136429986,9.997796098e-06,0.04804286318,4.850938981,4.850938981,9.701877962,9.701877962,0,0,-0.004442557205,0.7552048847,-1.447816263,246.1190399,0.06844479502,-14.01973555,-1.379371468,232.0993043,-0.0006129848999,0.1042033156,-1.694169161e-08,3.470213271e-06,-0.0002824707977,0.04801813828,0.00738130718,0.00735507143,0.0006217877017,12.5360868,24350,1004.435303,0.02813035307,2.435811214e-08,0,0.01078470625,0.03890285979,5.00301945e-05,-0.07091524986,0.00368865949,0.0003118342507,1,capture,5.551592908,10.2494751,23.69999999,30.02389328,2.880451943e-06,7993.774766,623.0382417,0.005191533274,10.24947378,6299.99951,334.5627812,1204.426012,217.8152439,-0.0063327591,1.065578791,0.006634388795,0.04804286422,0.04774935238,0.002735300865,17.45670942
0.012,189.8782857,1.06225181,35758.96227,869.8450664,0.2335279134,0.2335279134,1,-1.87623333e-07,4.057923862e-05,-4.607393199e-05,0.009162094047,0.0003528485577,0.0003505186892,4.048151651e-05,3.225637267e-05,0.1236077602,0.0004546696348,0.89763934,0.0002095172238,0.4136429795,1.48641236e-05,0.05695993918,4.854504104,4.854504104,9.709008208,9.709008208,0,0,-0.005286766786,0.896516625,-1.722757619,292.1409074,0.09742536027,-19.37365175,-1.625332259,272.7672557,-0.0007283980573,0.123519912,-2.408222692e-08,4.788903797e-06,-0.0003356545656,0.05691945767,0.008880278069,0.008821641368,0.001018814095,12.53582175,24350,1007.422241,0.02817258045,3.520214076e-08,0,0.01057160023,0.04804286318,6.004522324e-05,-0.05954768903,0.00442760111,0.0005113450502,1,capture,5.552193352,10.25737956,23.69999998,30.02867531,5.599064771e-06,7992.528484,623.2441334,0.006227167256,10.25737766,6299.999295,334.808659,1205.311172,217.791976,-0.007462773828,1.252421052,0.009162209893,0.05695994112,0.05660709257,0.003774725367,14.9963473
0.014,189.858,1.063031893,35811.50324,870.4838675,0.2338710381,0.2338710381,1,-2.952444934e-07,6.180067426e-05,-6.195493732e-05,0.01205055579,0.0004130343379,0.000408410708,6.162838559e-05,4.476107634e-05,0.142486578,0.0005449492233,0.8976392892,0.0002511191415,0.4136429562,2.062644111e-05,0.06565952496,4.858069178,4.858069178,9.716138357,9.716138357,0,0,-0.006116816096,1.034725501,-1.99302639,337.1419374,0.1310886489,-25.49742031,-1.861937741,311.6445171,-0.0008415238033,0.1423528393,-3.235925193e-08,6.294041891e-06,-0.0003877842668,0.06559789658,0.01040291168,0.01028645841,0.001552206439,12.53555361,24350,1010.414735,0.0282148093,4.823526837e-08,0,0.0103725602,0.05695993918,7.00632189e-05,-0.04854508437,0.005166803377,0.0007796605696,1,capture,5.552791063,10.26528943,23.69999995,30.03345764,9.871413522e-06,7991.281789,623.4500064,0.007261915033,10.26528685,6299.999041,335.0545326,1206.196317,217.7687081,-0.008550070197,1.431080341,0.01205071506,0.0656595282,0.06524649387,0.004961112991,13.15158393
0.016,189.8377143,1.063811962,35864.08205,871.1226597,0.2342144099,0.2342144099,1,-4.367468008e-07,8.914477062e-05,-7.994814411e-05,0.01528367408,0.0004745351489,0.0004661406372,8.886233103e-05,5.91574391e-05,0.1609049353,0.0006350119494,0.8976392291,0.0002926211264,0.4136429284,2.726045783e-05,0.07414692505,4.861634203,4.861634203,9.723268407,9.723268407,0,0,-0.006932954887,1.169889259,-2.258705424,381.1412677,0.1692659997,-32.35855442,-2.089439424,348.7827132,-0.0009524061426,0.1607120967,-4.172653874e-08,7.976855822e-06,-0.0004388801794,0.07405806272,0.01196100428,0.01174941457,0.002239839405,12.53528237,24350,1013.412794,0.0282570398,6.366916504e-08,0,0.01018670739,0.06565952496,8.008417002e-05,-0.03789298579,0.00590620902,0.001125925107,1,capture,5.553385963,10.27320472,23.69999991,30.03823977,1.618259568e-05,7990.034684,623.6558621,0.008295779015,10.27320133,6299.998747,335.3004021,1207.081448,217.7454403,-0.009595789566,1.601791123,0.01528388318,0.07414693006,0.07367239491,0.006287549637,11.71718701
0.018,189.8174286,1.064592017,35916.69869,871.7614429,0.2345580288,0.2345580288,1,-6.162729136e-07,0.0001232852403,-9.997201335e-05,0.01884588871,0.0005379201394,0.0005237046351,0.0001228475948,7.539404748e-05,0.1788740627,0.0007248583825,0.8976391592,0.0003340234409,0.4136428962,3.474248181e-05,0.08242731459,4.865199178,4.865199178,9.730398356,9.730398356,0,0,-0.007735427916,1.30206452,-2.519875903,424.1576606,0.2117930565,-39.92545752,-2.308082846,384.2322031,-0.001061088151,0.1786074733,-5.213916541e-08,9.82883985e-06,-0.0004889621533,0.08230446699,0.01356899061,0.01321040587,0.00309881963,12.53500801,24350,1016.416435,0.02829927226,8.181406862e-08,0,0.01001321797,0.07414692505,9.010806572e-05,-0.02757763925,0.006645762611,0.001558924236,1,capture,5.553977969,10.28112542,23.69999982,30.04302118,2.50752349e-05,7988.787166,623.8617019,0.00932876183,10.28112111,6299.998415,335.5462674,1207.966563,217.7221724,-0.01060104637,1.764782148,0.01884615387,0.08242732191,0.08188940177,0.007747330862,10.57001479
