time_s,mass_kg,mach,dynamic_pressure_pa,indicated_speed_kmh,base_indicated_speed_q_ratio,fin_force_speed_scale,fin_authority_scale,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s,angle_of_attack_rad,pitch_alpha_rad,yaw_alpha_rad,pitch_fin_command,yaw_fin_command,pitch_requested_fin_command,yaw_requested_fin_command,pitch_requested_fin_angle_rad,yaw_requested_fin_angle_rad,actual_pitch_fin_angle_rad,actual_yaw_fin_angle_rad,pitch_natural_frequency_rad_s,yaw_natural_frequency_rad_s,pitch_residual_rate_damping_per_s,yaw_residual_rate_damping_per_s,pitch_tail_rate_damping_per_s,yaw_tail_rate_damping_per_s,pitch_fin_moment_equivalent_g,yaw_fin_moment_equivalent_g,pitch_tail_moment_nm,yaw_tail_moment_nm,pitch_residual_damping_moment_nm,yaw_residual_damping_moment_nm,pitch_total_moment_nm,yaw_total_moment_nm,pitch_tail_authority_fraction,yaw_tail_authority_fraction,pitch_tail_rate_incidence_rad,yaw_tail_rate_incidence_rad,pitch_tail_effective_incidence_rad,yaw_tail_effective_incidence_rad,trajectory_lateral_load_g,trajectory_pitch_normal_acceleration_g,trajectory_yaw_normal_acceleration_g,axial_specific_force_g,thrust_n,drag_n,total_cda_m2,cda_alpha_m2,fin_drag_n,pitch_pid_output,yaw_pid_output,pitch_pid_integral,yaw_pid_integral,pid_feedback_pitch_g,pid_feedback_yaw_g,midcourse_weight,pcc_capture_mode,pcc_capture_ratio,pcc_envelope_g,pcc_routed_alpha_deg,heading_error_deg,j_psi_actual_deg,distance_to_target_m,closing_speed_mps,commanded_accel_body_pitch_g,commanded_accel_body_yaw_g,altitude_m,speed_mps,speed_kmh,inertia_kg_m2,pitch_angular_accel_rad_s2,yaw_angular_accel_rad_s2,omega_total_rad_s,delta_total_rad,trim_deficit_rad,predicted_deficit_rad,zeta_implied
0,190,1.057571035,35444.51194,866.0120826,0.2314743603,0.2314743603,1,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,4.833112668,4.833112668,4.833112668,4.833112668,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,12.53736593,24350,989.5836722,0.02791923539,0,0,0,0,0,0,0,0,1,capture,4.998916256,11.33263648,26.4,30,0,8000,622.0084679,0,11.33263648,6300,333.3333333,1200,217.9315833,0,0,0,0,0,0,nan
0.02,189.7971429,1.065372058,35969.35311,872.4002166,0.2349018944,0.2349018944,1,-8.956666184e-07,0.0004186685634,-0.0001333183447,0.04127101317,0.0007149601919,0.0005810414616,0.0004166040037,0,0.1999804356,0,0.9999021782,0,0.4607669225,0,0.09215338451,4.8687641,4.8687641,4.8687641,4.8687641,0,0,-0.009205607164,1.453412225,-2.998477765,473.409756,0.1413073946,-43.74416257,-2.857170371,429.6655934,-0.001260907836,0.1990763706,-6.947962252e-08,2.150862601e-05,-0.0005810414616,0.0917367805,0.01804853562,0.01466787685,0.01051679736,12.53472875,24350,1019.427166,0.02834154851,1.445293685e-07,0,0.0102,0,0.0001,-0.1144596284,0.007384678307,0.005294779294,1,capture,5.004204958,11.42061254,26.4,30.04772009,0.0001182905485,7987.539235,624.0677655,0.01150036976,11.42060576,6299.998043,335.7921283,1208.851662,217.6989045,-0.01312441318,1.973669066,0.0412712285,0.09215338451,0.09143842431,0.01695347224,5.393492438
0.04,189.5942857,1.073171639,36497.9732,878.7874074,0.2383541072,0.2383541072,1,-6.571207927e-06,0.001966473106,-0.0004744013742,0.1124119134,0.002259967992,0.001144582669,0.001948688235,0.0002013770404,0.3599646827,0.001006885202,0.9999016712,0.0004639847838,0.4607666889,9.279695675e-05,0.1658760454,4.904410268,4.904410268,4.904410268,4.904410268,0,0,-0.01690864094,2.635317052,-5.501646345,857.4658652,0.5059697449,-119.8922057,-4.9956766,737.5736595,-0.002282461637,0.3557358688,-2.454401218e-07,5.81583343e-05,-0.001051785712,0.1639273572,0.05748633842,0.0291144634,0.04956840854,12.53174115,24350,1049.861957,0.02876493858,1.444098971e-06,0,0.009141980053,0.09215338451,0.0002004115691,-0.009542092628,0.01477086097,0.02514788933,1,capture,5.009155488,11.50919062,26.4,30.09484308,0.00101899759,7975.03729,626.1270222,0.02290485021,11.50914592,6299.992193,338.250486,1217.70175,217.4662257,-0.02297219527,3.391669935,0.1124129144,0.1658760713,0.1636161034,0.04584156229,3.56916508
0.06,189.3914286,1.080969504,37030.35205,885.1734344,0.2418308669,0.2418308669,1,-2.062206928e-05,0.005146530427,-0.000967714337,0.2040784667,0.005352061764,0.001687384045,0.005079104272,0.0005590905781,0.4879517858,0.001989944729,0.999900198,0.0009169904103,0.4607660101,0.0002576356475,0.2248540383,4.940049942,4.940049942,4.940049942,4.940049942,0,0,-0.02332008593,3.584665915,-7.579650673,1165.112148,1.038497387,-219.0056985,-6.541153286,946.1064497,-0.0031026718,0.4769297111,-4.970527539e-07,0.0001048220121,-0.001429748397,0.219774934,0.1371770802,0.04324801362,0.1301812607,12.52821798,24350,1081.048959,0.02919359117,8.099059982e-06,0,0.008558439429,0.1658760454,0.0003012249681,0.07174553661,0.02210831962,0.06654782025,1,capture,5.013598168,11.59836761,26.4,30.1402091,0.003863228611,7962.494132,628.1896604,0.03421974214,11.59816723,6299.982478,340.7083205,1226.549954,217.2335468,-0.03011115632,4.355250206,0.2040807611,0.2248541859,0.2195021242,0.08262295463,2.656672412
0.08,189.1885714,1.088765187,37566.4557,891.5579199,0.245331952,0.245331952,1,-4.562889376e-05,0.01029230548,-0.001567312559,0.3086409937,0.01035327321,0.002207298035,0.01011524105,0.001037300957,0.5903409939,0.002950142474,0.9998978261,0.001359461054,0.460764917,0.0004780007287,0.2720362141,4.975681013,4.975681013,4.975681013,4.975681013,0,0,-0.02861426366,4.333942898,-9.290438156,1407.138375,1.692269842,-333.2480446,-7.598168314,1073.89033,-0.003752717609,0.5683900875,-7.992636485e-07,0.0001573939578,-0.001729297307,0.261920973,0.2673810219,0.05700026891,0.2612347225,12.52370828,24350,1113.382556,0.02963767902,3.030733375e-05,0,0.008260037391,0.2248540383,0.0004024361103,0.1352802023,0.02935801002,0.1345434988,1,capture,5.017313575,11.68813827,26.4,30.18232345,0.01014501319,7949.909651,630.260161,0.04545560653,11.68745092,6299.968925,343.1654853,1235.395747,217.000868,-0.03501446047,4.948783569,0.3086449731,0.272036634,0.2616833608,0.1240613988,2.109305259
0.1,188.9857143,1.096557837,38106.22249,897.94017,0.2488569595,0.2488569595,1,-8.333241411e-05,0.0175990839,-0.00223526594,0.4199037386,0.01743365234,0.002703113807,0.01722281654,0.00160761201,0.6722517182,0.003888856223,0.9998946158,0.001792031614,0.4607634377,0.0007408069058,0.3097816588,5.011299608,5.011299608,5.011299608,5.011299608,0,0,-0.03293635365,4.910455894,-10.68226181,1592.610282,2.428147801,-456.1373756,-8.25411401,1136.472907,-0.004258367624,0.6348767876,-1.131790989e-06,0.0002126115104,-0.001962306901,0.2925588423,0.453654776,0.07032166056,0.4481713064,12.51741235,24350,1147.569726,0.03011502192,8.593481454e-05,0,0.008133263426,0.2720362141,0.0005040458698,0.1853271026,0.03649047293,0.2325311878,1,capture,5.020052781,11.77849302,26.4,30.21948918,0.02155841267,7937.283639,632.3436449,0.05662770902,11.77660742,6299.951563,345.6217122,1244.238164,216.7681892,-0.03807806875,5.242802973,0.419909688,0.3097825446,0.2923488922,0.1675851459,1.744479743
0.12,188.7828571,1.104346599,38649.58881,904.3194881,0.2524054742,0.2524054742,1,-0.0001347786965,0.02715033398,-0.002940369513,0.5328741897,0.02664388857,0.003174430786,0.02645410719,0.002247682586,0.7377794983,0.00480796489,0.9998906187,0.002215567917,0.4607615958,0.001035759108,0.3399776462,5.04690184,5.04690184,5.04690184,5.04690184,0,0,-0.03640840748,5.337375007,-11.79567945,1729.21501,3.213334205,-582.3427474,-8.582345247,1146.872262,-0.004641093718,0.6803719065,-1.478308135e-06,0.0002679092699,-0.002138671678,0.313523539,0.698565334,0.08317726145,0.6935957533,12.51231922,24350,1176.958155,0.03045202268,0.000200718591,0,0.008110107633,0.3097816588,0.0006060595931,0.2250351244,0.0434713153,0.3623911122,1,capture,5.021553573,11.86942202,26.4,30.24991377,0.03989050848,7924.615782,634.4456692,0.06775610023,11.86507002,6299.930417,348.0767322,1253.076236,216.5355103,-0.03963481663,5.296462739,0.532882302,0.3399792239,0.3133353354,0.2111720493,1.483791707
0.14,188.58,1.112132902,39196.65038,910.6970476,0.2559781212,0.2559781212,1,-0.000200439924,0.03893986519,-0.003657085885,0.6435733267,0.03794481811,0.003621545372,0.0377715982,0.002940126141,0.7902007737,0.00570990036,0.999885875,0.002631190605,0.4607594098,0.001354845407,0.3641339989,5.082494258,5.082494258,5.082494258,5.082494258,0,0,-0.03913412971,5.63458275,-12.6651412,1823.543455,4.020446255,-707.5174204,-8.644694941,1116.026035,-0.004918925647,0.7082332941,-1.825773006e-06,0.0003212992105,-0.002266699965,0.3263624007,1.002348682,0.09554374569,0.9977846822,12.50622767,24350,1204.229942,0.03072277682,0.0004070964666,0,0.008149996822,0.3399776462,0.0007084880707,0.2567626496,0.05028365255,0.5248082111,1,capture,5.021553017,11.9609402,26.4,30.27179427,0.06693592183,7911.905645,636.5725894,0.07886550892,11.95213832,6299.905513,350.5309957,1261.911585,216.3028315,-0.03996570401,5.159553515,0.6435837173,0.3641365194,0.3261917013,0.2532550691,1.287996732
0.16,188.3771429,1.1199139,39747.20235,917.0705222,0.2595735626,0.2595735626,1,-0.0002803152278,0.05289051802,-0.004364662822,0.7488778481,0.05122782684,0.004045343911,0.05106785129,0.003671631785,0.8321367012,0.006597654361,0.9998804113,0.003040278302,0.4607568921,0.001691931986,0.3834585775,5.118063878,5.118063878,5.118063878,5.118063878,0,0,-0.04120189609,5.819265222,-13.31999716,1881.287116,4.82670971,-828.1546887,-8.493287454,1053.132427,-0.005107097741,0.7213152571,-2.163885178e-06,0.0003712739659,-0.002353411924,0.3323907263,1.363352555,0.1074065481,1.359115161,12.49414574,24350,1237.012963,0.03112201336,0.0007420005852,0,0.008228620579,0.3641339989,0.0008113462543,0.2822983909,0.05692858383,0.7195766631,1,capture,5.01979809,12.05301571,26.4,30.28338561,0.1044293148,7899.152678,638.7295506,0.08998442115,12.03694842,6299.876872,352.9836064,1270.740983,216.0701527,-0.03930800876,4.874030096,0.7488905672,0.3834623102,0.3322344833,0.2926460416,1.135277558
0.18,188.1742857,1.12768528,40300.92931,923.4363827,0.2631897386,0.2631897386,1,-0.000374015306,0.06886995339,-0.005046388432,0.8463883006,0.06633145828,0.004447197334,0.06618220904,0.004432254173,0.8656842088,0.007474743724,0.9998742391,0.003444451605,0.4607540479,0.00204243591,0.3989176716,5.153591005,5.153591005,5.153591005,5.153591005,0,0,-0.04268740401,5.90645416,-13.78538009,1907.417831,5.613289937,-941.4699234,-8.172090149,965.9479077,-0.005218530386,0.7220633633,-2.484624296e-06,0.0004167251419,-0.002404761424,0.3327354626,1.778403653,0.1187584435,1.77443399,12.47420172,24350,1277.067835,0.03168829743,0.001244031773,0,0.008331375857,0.3834585775,0.0009146518341,0.3030141303,0.06340366652,0.9455898415,1,capture,5.016053494,12.14559945,26.4,30.28305285,0.1539929682,7886.356233,640.9210671,0.1011444787,12.11855985,6299.844519,355.4332046,1279.559537,215.8374738,-0.0378622396,4.475348467,0.8464033444,0.3989229002,0.3325914419,0.3284712907,1.012543414
