time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
2.0,19400.0,6500.0,0.0,-300.0,0.0,0.0
2.02,19394.0,6500.0,0.0,-300.0,0.0,0.0
2.04,19388.0,6500.0,0.0,-300.0,0.0,0.0
2.06,19382.0,6500.0,0.0,-300.0,0.0,0.0
2.08,19376.0,6500.0,0.0,-300.0,0.0,0.0
2.1,19370.0,6500.0,0.0,-300.0,0.0,0.0
2.12,19364.0,6500.0,0.0,-300.0,0.0,0.0
2.14,19358.0,6500.0,0.0,-300.0,0.0,0.0
2.16,19352.0,6500.0,0.0,-300.0,0.0,0.0
2.18,19346.0,6500.0,0.0,-300.0,0.0,0.0
2.2,19340.0,6500.0,0.0,-300.0,0.0,0.0
2.22,19334.0,6500.0,0.0,-300.0,0.0,0.0
2.24,19328.0,6500.0,0.0,-300.0,0.0,0.0
2.2600000000000002,19322.0,6500.0,0.0,-300.0,0.0,0.0
2.2800000000000002,19316.0,6500.0,0.0,-300.0,0.0,0.0
2.3000000000000003,19310.0,6500.0,0.0,-300.0,0.0,0.0
2.32,19304.0,6500.0,0.0,-300.0,0.0,0.0
2.34,19298.0,6500.0,0.0,-300.0,0.0,0.0
2.36,19292.0,6500.0,0.0,-300.0,0.0,0.0
2.38,19286.0,6500.0,0.0,-300.0,0.0,0.0
2.4,19280.0,6500.0,0.0,-300.0,0.0,0.0
2.42,19274.0,6500.0,0.0,-300.0,0.0,0.0
2.44,19268.0,6500.0,0.0,-300.0,0.0,0.0
2.46,19262.0,6500.0,0.0,-300.0,0.0,0.0
2.48,19256.0,6500.0,0.0,-300.0,0.0,0.0
2.5,19250.0,6500.0,0.0,-300.0,0.0,0.0
2.52,19244.0,6500.0,0.0,-300.0,0.0,0.0
2.54,19238.0,6500.0,0.0,-300.0,0.0,0.0
2.56,19232.0,6500.0,0.0,-300.0,0.0,0.0
2.58,19226.0,6500.0,0.0,-300.0,0.0,0.0
2.6,19220.0,6500.0,0.0,-300.0,0.0,0.0
2.62,19214.0,6500.0,0.0,-300.0,0.0,0.0
2.64,19208.0,6500.0,0.0,-300.0,0.0,0.0
2.66,19202.0,6500.0,0.0,-300.0,0.0,0.0
2.68,19196.0,6500.0,0.0,-300.0,0.0,0.0
2.7,19190.0,6500.0,0.0,-300.0,0.0,0.0
2.72,19184.0,6500.0,0.0,-300.0,0.0,0.0
2.74,19178.0,6500.0,0.0,-300.0,0.0,0.0
2.7600000000000002,19172.0,6500.0,0.0,-300.0,0.0,0.0
2.7800000000000002,19166.0,6500.0,0.0,-300.0,0.0,0.0
2.8000000000000003,19160.0,6500.0,0.0,-300.0,0.0,0.0
2.82,19154.0,6500.0,0.0,-300.0,0.0,0.0
2.84,19148.0,6500.0,0.0,-300.0,0.0,0.0
2.86,19142.0,6500.0,0.0,-300.0,0.0,0.0
2.88,19136.0,6500.0,0.0,-300.0,0.0,0.0
2.9,19130.0,6500.0,0.0,-300.0,0.0,0.0
2.92,19124.0,6500.0,0.0,-300.0,0.0,0.0
2.94,19118.0,6500.0,0.0,-300.0,0.0,0.0
2.96,19112.0,6500.0,0.0,-300.0,0.0,0.0
2.98,19106.0,6500.0,0.0,-300.0,0.0,0.0
3.0,19100.0,6500.0,0.0,-300.0,0.0,0.0
3.02,19094.0,6500.0,0.0,-300.0,0.0,0.0
3.04,19088.0,6500.0,0.0,-300.0,0.0,0.0
